,Intercept,wdj_expression_lag1,v2jupoatck_lag1
0,1.0,0.0,0.995
1,1.0,0.0,0.995
2,1.0,0.0,0.818
3,1.0,0.0,0.64
4,1.0,0.0,1.174
5,1.0,0.0,1.299
6,1.0,0.0,1.299
7,1.0,0.0,1.307
8,1.0,0.0,1.237
9,1.0,0.0,1.237
10,1.0,0.0,1.191
11,1.0,0.0,1.357
12,1.0,0.944444444,1.68
13,1.0,1.0,1.68
14,1.0,1.0,1.68
15,1.0,1.0,1.68
16,1.0,1.0,1.965
17,1.0,1.0,1.965
18,1.0,1.0,1.965
19,1.0,0.685185185,0.99
20,1.0,0.685185185,1.046
21,1.0,0.685185185,1.046
22,1.0,0.685185185,1.54
23,1.0,0.685185185,1.54
24,1.0,0.685185185,1.234
25,1.0,0.685185185,1.234
26,1.0,0.685185185,1.502
27,1.0,0.685185185,1.076
28,1.0,0.055555556,-1.186
29,1.0,0.055555556,-1.267
30,1.0,0.055555556,-1.516
31,1.0,0.475308642,-1.25
32,1.0,0.981481481,-1.596
33,1.0,0.981481481,-1.249
34,1.0,0.0,2.422
35,1.0,0.0,2.422
36,1.0,0.0,2.422
37,1.0,0.0,2.422
38,1.0,0.0,2.422
39,1.0,0.0,-1.026
40,1.0,0.0,-1.026
41,1.0,0.0,-1.026
42,1.0,0.037037037,-0.52
43,1.0,0.0,1.561
44,1.0,0.0,1.561
45,1.0,-0.111111111,1.234
46,1.0,-0.111111111,1.225
47,1.0,0.0,1.033
48,1.0,0.0,1.033
49,1.0,0.0,1.033
50,1.0,0.0,1.033
51,1.0,0.0,1.033
52,1.0,0.0,1.033
53,1.0,0.0,1.033
54,1.0,0.0,1.033
55,1.0,0.0,1.033
56,1.0,0.0,1.033
57,1.0,0.0,1.033
58,1.0,0.0,1.033
59,1.0,0.0,1.033
60,1.0,0.0,1.033
61,1.0,0.0,1.033
62,1.0,0.0,1.033
63,1.0,0.0,1.033
64,1.0,0.0,1.201
65,1.0,0.0,0.951
66,1.0,0.0,0.745
67,1.0,0.0,0.857
68,1.0,0.0,0.406
69,1.0,0.0,1.343
70,1.0,0.0,1.507
71,1.0,0.0,2.007
72,1.0,0.777777778,1.471
73,1.0,0.777777778,1.471
74,1.0,0.777777778,0.682
75,1.0,0.777777778,0.821
76,1.0,0.777777778,1.024
77,1.0,0.0,0.921
78,1.0,0.0,1.318
79,1.0,0.920634921,1.318
80,1.0,0.920634921,1.318
81,1.0,0.920634921,1.318
82,1.0,0.920634921,1.318
83,1.0,0.920634921,1.318
84,1.0,0.920634921,0.493
85,1.0,0.920634921,0.493
86,1.0,0.920634921,0.732
87,1.0,0.920634921,1.681
88,1.0,0.920634921,1.681
89,1.0,0.920634921,1.681
90,1.0,0.920634921,1.681
91,1.0,0.920634921,1.314
92,1.0,0.920634921,0.701
93,1.0,0.920634921,0.898
94,1.0,0.920634921,1.22
95,1.0,0.920634921,1.482
96,1.0,0.908119658,-1.531
97,1.0,0.908119658,-1.531
98,1.0,0.900966184,-1.922
99,1.0,0.905092593,-1.922
100,1.0,0.0,-1.144
101,1.0,0.0,-1.144
102,1.0,0.0,-1.424
103,1.0,0.0,-0.597
104,1.0,0.0,-0.7
105,1.0,0.606837607,-0.624
106,1.0,0.606837607,-0.32
107,1.0,0.606837607,-0.618
108,1.0,0.32748538,0.106
109,1.0,0.0,0.687
110,1.0,0.0,2.269
111,1.0,0.0,2.269
112,1.0,0.0,2.174
113,1.0,0.0,2.174
114,1.0,0.0,2.174
115,1.0,0.0,2.174
116,1.0,0.0,1.841
117,1.0,0.0,1.701
118,1.0,0.0,1.701
119,1.0,0.0,2.313
120,1.0,0.0,2.313
121,1.0,0.0,2.313
122,1.0,0.0,2.313
123,1.0,0.0,2.313
124,1.0,0.62962963,2.313
125,1.0,0.62962963,2.313
126,1.0,0.62962963,2.313
127,1.0,0.62962963,2.313
128,1.0,0.62962963,2.313
129,1.0,0.62962963,2.313
130,1.0,0.393162393,0.26
131,1.0,0.0,0.807
132,1.0,0.0,1.109
133,1.0,0.0,1.21
134,1.0,0.0,1.21
135,1.0,0.0,2.189
136,1.0,0.0,2.169
137,1.0,0.0,1.637
138,1.0,0.0,1.637
139,1.0,0.0,1.072
140,1.0,0.0,1.441
141,1.0,0.0,1.441
142,1.0,0.0,-0.558
143,1.0,0.0,-0.72
144,1.0,0.393939394,-0.784
145,1.0,0.393939394,-0.843
146,1.0,0.393939394,-0.843
147,1.0,0.393939394,-1.08
148,1.0,0.393939394,-1.251
149,1.0,0.494152047,-0.567
150,1.0,0.494152047,-0.778
151,1.0,0.447089947,-0.373
152,1.0,0.0,0.374
153,1.0,0.0,0.323
154,1.0,0.0,0.227
155,1.0,0.873015873,0.412
156,1.0,0.873015873,0.412
157,1.0,0.873015873,0.412
158,1.0,0.873015873,0.862
159,1.0,0.0,-0.35
160,1.0,0.0,-0.35
161,1.0,0.0,-0.35
162,1.0,0.0,-0.35
163,1.0,0.0,-0.35
164,1.0,0.777777778,-0.35
165,1.0,0.777777778,-0.924
166,1.0,0.851851852,-0.924
167,1.0,0.851851852,-0.915
168,1.0,0.851851852,-0.549
169,1.0,0.851851852,-0.627
170,1.0,0.0,-0.603
171,1.0,0.0,-0.603
172,1.0,0.0,-0.603
173,1.0,0.0,-0.452
174,1.0,-0.037037037,-1.029
175,1.0,0.0,1.075
176,1.0,0.0,0.818
177,1.0,0.633986928,0.712
178,1.0,0.633986928,0.712
179,1.0,0.633986928,0.712
180,1.0,0.633986928,1.3
181,1.0,0.633986928,1.799
182,1.0,0.763888889,1.205
183,1.0,0.763888889,1.205
184,1.0,0.763888889,1.205
185,1.0,0.814814815,1.205
186,1.0,0.814814815,1.205
187,1.0,0.711111111,-0.317
188,1.0,0.711111111,0.1
189,1.0,0.711111111,0.1
190,1.0,0.711111111,0.815
191,1.0,0.0,1.359
192,1.0,0.0,1.39
193,1.0,0.0,1.39
194,1.0,0.0,1.39
195,1.0,0.0,1.023
196,1.0,0.0,0.472
197,1.0,0.5,-0.227
198,1.0,0.0,-0.227
199,1.0,0.0,-0.067
200,1.0,0.0,-0.067
201,1.0,0.953703704,0.188
202,1.0,0.907407407,0.022
203,1.0,0.907407407,0.057
204,1.0,0.907407407,-0.265
205,1.0,0.907407407,-0.086
206,1.0,0.907407407,-0.161
207,1.0,0.907407407,0.615
208,1.0,0.907407407,1.242
209,1.0,0.0,-1.336
210,1.0,0.0,-1.444
211,1.0,0.0,-2.535
212,1.0,0.0,-1.141
213,1.0,0.0,-1.141
214,1.0,0.0,-1.253
215,1.0,0.0,-1.177
216,1.0,0.0,-0.642
217,1.0,0.736111111,-0.829
218,1.0,0.736111111,-0.962
219,1.0,0.0,-0.033
220,1.0,0.0,-0.204
221,1.0,0.0,0.015
222,1.0,0.0,0.132
223,1.0,0.0,-1.422
224,1.0,0.533333333,-0.998
225,1.0,0.533333333,-0.561
226,1.0,0.359477124,0.692
227,1.0,0.579365079,1.543
228,1.0,0.583979328,0.12
229,1.0,0.583979328,2.295
230,1.0,0.55308642,2.295
231,1.0,0.55308642,2.295
232,1.0,0.55308642,2.295
233,1.0,0.55308642,-0.627
234,1.0,0.559178744,-3.46
235,1.0,0.559178744,-3.084
236,1.0,0.559178744,-4.259
237,1.0,0.449074074,-4.26
238,1.0,0.449074074,-2.65
239,1.0,0.259259259,-2.509
240,1.0,0.450292398,1.021
241,1.0,0.0,-1.401
242,1.0,0.0,-1.26
243,1.0,0.555555556,-0.906
244,1.0,0.0,2.621
245,1.0,0.0,2.621
246,1.0,0.0,2.621
247,1.0,0.305555556,2.621
248,1.0,0.305555556,2.621
249,1.0,0.458333333,-0.875
250,1.0,0.0,-0.389
251,1.0,0.0,-0.298
252,1.0,0.0,0.35
253,1.0,0.0,0.35
254,1.0,0.0,0.35
255,1.0,0.0,0.35
256,1.0,0.0,0.35
257,1.0,0.0,0.35
258,1.0,0.0,0.35
259,1.0,0.0,0.416
260,1.0,0.0,0.416
261,1.0,0.0,0.48
262,1.0,0.0,0.315
263,1.0,0.0,0.315
264,1.0,0.0,0.315
265,1.0,0.0,0.287
266,1.0,0.0,0.287
267,1.0,0.0,0.333
268,1.0,0.0,0.333
269,1.0,0.0,0.333
270,1.0,0.0,0.373
271,1.0,0.0,0.744
272,1.0,0.402777778,0.696
273,1.0,0.402777778,1.163
274,1.0,0.402777778,1.529
275,1.0,0.402777778,1.454
276,1.0,0.0,0.446
277,1.0,0.0,2.405
278,1.0,0.0,0.316
279,1.0,0.0,0.069
280,1.0,0.0,1.328
281,1.0,0.0,1.328
282,1.0,0.0,0.798
283,1.0,0.678571429,0.462
284,1.0,0.678571429,0.902
285,1.0,0.0,-1.421
286,1.0,0.0,-1.421
287,1.0,0.0,-1.421
288,1.0,0.0,0.174
289,1.0,0.0,0.048
290,1.0,0.0,0.143
291,1.0,0.0,0.143
292,1.0,0.0,0.367
293,1.0,0.0,-1.111
294,1.0,0.0,-1.111
295,1.0,0.0,-1.111
296,1.0,0.0,-1.111
297,1.0,0.0,-0.744
298,1.0,0.0,-1.486
299,1.0,0.0,-1.486
300,1.0,0.0,-0.525
301,1.0,0.0,-0.608
302,1.0,0.0,-0.294
303,1.0,0.0,-1.744
304,1.0,0.0,-2.108
305,1.0,0.0,-2.134
306,1.0,0.0,-3.11
307,1.0,0.0,-2.741
308,1.0,0.0,-2.658
309,1.0,0.0,-2.412
310,1.0,0.619047619,-2.256
311,1.0,0.619047619,-2.017
312,1.0,0.619047619,-2.262
313,1.0,0.619047619,-2.362
314,1.0,0.0,-1.351
315,1.0,0.0,-0.985
316,1.0,0.0,-1.289
317,1.0,0.0,-1.206
318,1.0,0.0,-1.499
319,1.0,0.0,-1.407
320,1.0,0.0,-1.283
321,1.0,0.755555556,-1.283
322,1.0,0.0,1.4
323,1.0,0.0,0.347
324,1.0,0.0,1.248
325,1.0,0.0,1.399
326,1.0,0.0,1.747
327,1.0,0.0,1.747
328,1.0,0.0,1.718
329,1.0,0.0,1.718
330,1.0,0.0,1.718
331,1.0,0.0,1.718
332,1.0,0.0,1.718
333,1.0,0.0,1.718
334,1.0,0.0,1.718
335,1.0,0.0,2.12
336,1.0,0.0,2.12
337,1.0,0.0,2.12
338,1.0,0.0,2.12
339,1.0,0.0,2.12
340,1.0,0.0,2.12
341,1.0,0.0,2.12
342,1.0,0.0,2.12
343,1.0,0.0,1.943
344,1.0,0.0,1.217
345,1.0,0.0,1.217
346,1.0,0.0,1.217
347,1.0,0.0,1.217
348,1.0,0.0,1.217
349,1.0,0.0,1.973
350,1.0,0.0,1.973
351,1.0,0.0,1.973
352,1.0,0.0,2.108
353,1.0,0.0,2.108
354,1.0,0.0,2.108
355,1.0,-0.666666667,2.108
356,1.0,-0.666666667,2.108
357,1.0,0.0,2.108
358,1.0,0.0,2.108
359,1.0,0.0,2.108
360,1.0,0.0,1.7
361,1.0,0.0,2.229
362,1.0,0.0,2.229
363,1.0,0.0,2.229
364,1.0,0.0,2.229
365,1.0,0.0,2.229
366,1.0,0.0,2.229
367,1.0,0.0,0.863
368,1.0,0.0,1.487
369,1.0,0.0,1.036
370,1.0,0.0,1.036
371,1.0,0.0,1.036
372,1.0,0.0,1.036
373,1.0,1.0,0.721
374,1.0,1.0,0.013
375,1.0,1.0,-0.349
376,1.0,1.0,-0.349
377,1.0,1.0,-0.68
378,1.0,1.0,0.894
379,1.0,1.0,0.894
380,1.0,1.0,0.634
381,1.0,1.0,0.525
382,1.0,0.0,0.98
383,1.0,0.746031746,1.988
384,1.0,0.746031746,1.25
385,1.0,0.746031746,1.332
386,1.0,0.40530303,-1.653
387,1.0,0.40530303,-1.653
388,1.0,0.40530303,-1.653
389,1.0,0.40530303,-1.653
390,1.0,0.40530303,-1.591
391,1.0,0.500992063,-2.506
392,1.0,0.500992063,-1.799
393,1.0,0.0,0.667
394,1.0,0.0,1.127
395,1.0,0.0,1.127
396,1.0,0.0,1.127
397,1.0,0.0,1.127
398,1.0,-0.222222222,0.46
399,1.0,-0.222222222,0.708
400,1.0,-0.222222222,0.714
401,1.0,-0.222222222,0.766
402,1.0,-0.222222222,-0.732
403,1.0,0.0,0.59
404,1.0,0.0,-1.276
405,1.0,0.0,-0.202
406,1.0,0.0,-0.202
407,1.0,0.0,0.293
408,1.0,0.0,0.293
409,1.0,0.0,0.444
410,1.0,0.0,0.658
411,1.0,0.0,1.176
412,1.0,0.0,0.242
413,1.0,0.0,1.307
414,1.0,0.0,1.237
415,1.0,0.0,1.237
416,1.0,0.0,1.237
417,1.0,0.0,1.237
418,1.0,0.0,1.237
419,1.0,0.0,1.191
420,1.0,0.0,1.191
421,1.0,0.0,1.191
422,1.0,0.0,1.357
423,1.0,0.0,1.357
424,1.0,0.944444444,1.68
425,1.0,0.944444444,1.68
426,1.0,0.944444444,1.68
427,1.0,1.0,1.68
428,1.0,0.685185185,1.54
429,1.0,0.685185185,1.234
430,1.0,0.685185185,1.234
431,1.0,0.055555556,-1.516
432,1.0,0.475308642,-1.25
433,1.0,0.0,2.422
434,1.0,0.0,1.033
435,1.0,0.0,1.033
436,1.0,0.0,1.033
437,1.0,0.0,1.033
438,1.0,0.0,1.033
439,1.0,0.0,1.033
440,1.0,0.0,1.033
441,1.0,0.0,1.033
442,1.0,0.0,1.033
443,1.0,0.0,1.201
444,1.0,0.0,1.201
445,1.0,0.0,1.201
446,1.0,0.0,0.951
447,1.0,0.0,0.951
448,1.0,0.0,0.951
449,1.0,0.0,0.745
450,1.0,0.0,0.857
451,1.0,0.0,0.857
452,1.0,0.0,0.857
453,1.0,0.0,0.857
454,1.0,0.0,0.857
455,1.0,0.0,0.406
456,1.0,0.0,0.406
457,1.0,0.0,0.406
458,1.0,0.0,1.343
459,1.0,0.0,1.343
460,1.0,0.0,1.507
461,1.0,0.0,1.507
462,1.0,0.0,2.007
463,1.0,0.0,2.007
464,1.0,0.0,2.007
465,1.0,0.0,2.007
466,1.0,0.777777778,1.471
467,1.0,0.777777778,1.471
468,1.0,0.777777778,1.471
469,1.0,0.777777778,1.471
470,1.0,0.777777778,1.471
471,1.0,0.777777778,0.682
472,1.0,0.777777778,0.682
473,1.0,0.920634921,1.318
474,1.0,0.920634921,1.681
475,1.0,0.920634921,1.681
476,1.0,0.920634921,1.681
477,1.0,0.920634921,1.314
478,1.0,0.920634921,0.701
479,1.0,0.920634921,0.701
480,1.0,0.920634921,0.701
481,1.0,0.920634921,0.701
482,1.0,0.920634921,0.898
483,1.0,0.920634921,0.898
484,1.0,0.920634921,0.898
485,1.0,0.920634921,0.898
486,1.0,0.920634921,0.898
487,1.0,0.920634921,0.898
488,1.0,0.920634921,0.898
489,1.0,0.920634921,1.22
490,1.0,0.920634921,1.22
491,1.0,0.920634921,1.22
492,1.0,0.920634921,1.22
493,1.0,0.908119658,-1.531
494,1.0,0.900966184,-1.922
495,1.0,0.0,-1.144
496,1.0,0.0,-0.597
497,1.0,0.0,2.174
498,1.0,0.0,2.174
499,1.0,0.0,1.841
500,1.0,0.0,1.701
501,1.0,0.0,2.313
502,1.0,0.0,2.313
503,1.0,0.0,2.313
504,1.0,0.0,2.313
505,1.0,0.0,2.313
506,1.0,0.0,2.313
507,1.0,0.0,2.313
508,1.0,0.0,2.313
509,1.0,0.0,2.313
510,1.0,0.0,2.313
511,1.0,0.0,2.313
512,1.0,0.0,2.313
513,1.0,0.0,2.313
514,1.0,0.0,2.313
515,1.0,0.0,2.313
516,1.0,0.0,2.313
517,1.0,0.0,2.313
518,1.0,0.0,2.313
519,1.0,0.62962963,2.313
520,1.0,0.62962963,2.313
521,1.0,0.62962963,2.313
522,1.0,0.62962963,2.313
523,1.0,0.62962963,2.313
524,1.0,0.62962963,2.313
