,Intercept,wdj_citizen_lag1,v2jupoatck_lag1,v2x_polyarchy_lag1,v2jureview_lag1,legal_common,legal_civil,high_court,j_ind_lag1
0,1.0,0.0,0.995,0.29,1.462,0.0,1.0,0.0,0.217
1,1.0,0.0,0.995,0.29,1.462,0.0,1.0,0.0,0.217
2,1.0,0.0,0.818,0.89,1.835,1.0,0.0,1.0,3.037
3,1.0,0.0,0.64,0.882,1.835,1.0,0.0,0.0,3.014
4,1.0,0.0,1.174,0.879,1.835,1.0,0.0,0.0,3.014
5,1.0,0.0,1.299,0.889,1.835,1.0,0.0,1.0,3.037
6,1.0,0.0,1.299,0.896,1.835,1.0,0.0,0.0,3.014
7,1.0,0.0,1.307,0.896,1.835,1.0,0.0,1.0,3.366
8,1.0,0.0,1.237,0.862,1.835,1.0,0.0,0.0,3.014
9,1.0,0.0,1.237,0.855,1.835,1.0,0.0,1.0,2.528
10,1.0,0.0,1.191,0.871,1.835,1.0,0.0,1.0,3.279
11,1.0,0.0,1.357,0.871,1.835,1.0,0.0,0.0,3.014
12,1.0,0.944444444,1.68,0.86,1.835,1.0,0.0,0.0,3.014
13,1.0,0.0,1.68,0.825,1.835,1.0,0.0,0.0,3.014
14,1.0,0.0,1.68,0.837,1.835,1.0,0.0,1.0,3.279
15,1.0,0.0,1.68,0.828,1.835,1.0,0.0,0.0,3.014
16,1.0,0.0,1.965,0.846,1.835,1.0,0.0,0.0,3.014
18,1.0,0.0,1.965,0.848,1.835,1.0,0.0,0.0,3.014
23,1.0,0.0,1.54,0.193,0.855,0.0,1.0,1.0,-2.345
28,1.0,0.055555556,-1.186,0.376,1.826,0.0,0.0,0.0,-1.477
29,1.0,0.055555556,-1.267,0.278,1.826,0.0,0.0,0.0,-1.477
30,1.0,0.055555556,-1.516,0.252,1.826,0.0,0.0,1.0,-1.089
32,1.0,0.981481481,-1.596,0.677,1.891,0.0,1.0,1.0,-1.328
34,1.0,0.0,2.422,0.702,1.874,0.0,0.0,0.0,1.949
36,1.0,0.0,2.422,0.717,1.874,0.0,0.0,0.0,1.949
37,1.0,0.0,2.422,0.69,1.874,0.0,0.0,1.0,1.279
38,1.0,0.0,2.422,0.672,1.874,0.0,0.0,0.0,1.67
39,1.0,0.0,-1.026,0.293,-1.002,0.0,0.0,0.0,-1.156
40,1.0,0.0,-1.026,0.291,-1.002,0.0,0.0,0.0,-1.156
41,1.0,0.0,-1.026,0.275,-1.002,0.0,0.0,0.0,-1.156
45,1.0,-0.111111111,1.234,0.298,-0.667,0.0,0.0,1.0,-1.515
47,1.0,0.0,1.033,0.835,1.901,1.0,0.0,1.0,2.199
48,1.0,0.0,1.033,0.833,1.901,1.0,0.0,1.0,2.199
49,1.0,0.0,1.033,0.833,1.901,1.0,0.0,1.0,2.199
50,1.0,0.0,1.033,0.832,1.901,1.0,0.0,1.0,2.199
51,1.0,0.0,1.033,0.842,1.901,1.0,0.0,1.0,2.199
52,1.0,0.0,1.033,0.842,1.901,1.0,0.0,1.0,2.199
53,1.0,0.0,1.033,0.846,1.901,1.0,0.0,1.0,2.199
54,1.0,0.0,1.033,0.84,1.901,1.0,0.0,1.0,2.199
55,1.0,0.0,1.033,0.836,1.901,1.0,0.0,0.0,2.289
56,1.0,0.0,1.033,0.832,1.901,1.0,0.0,1.0,2.199
57,1.0,0.0,1.033,0.825,1.901,1.0,0.0,1.0,2.199
58,1.0,0.0,1.033,0.825,1.901,1.0,0.0,0.0,2.289
59,1.0,0.0,1.033,0.824,1.901,1.0,0.0,0.0,2.289
60,1.0,0.0,1.033,0.83,1.901,1.0,0.0,0.0,2.289
61,1.0,0.0,1.033,0.832,1.901,1.0,0.0,1.0,2.199
62,1.0,0.0,1.033,0.827,1.901,1.0,0.0,1.0,2.199
63,1.0,0.0,1.033,0.826,1.901,1.0,0.0,0.0,2.289
64,1.0,0.0,1.201,0.826,1.901,1.0,0.0,1.0,2.199
65,1.0,0.0,0.951,0.811,1.901,1.0,0.0,1.0,2.199
66,1.0,0.0,0.745,0.81,1.901,1.0,0.0,0.0,2.289
67,1.0,0.0,0.857,0.817,1.901,1.0,0.0,1.0,2.199
68,1.0,0.0,0.406,0.814,1.901,1.0,0.0,0.0,2.289
69,1.0,0.0,1.343,0.807,1.901,1.0,0.0,0.0,2.289
70,1.0,0.0,1.507,0.834,1.901,1.0,0.0,0.0,2.289
71,1.0,0.0,2.007,0.839,1.901,1.0,0.0,1.0,2.199
72,1.0,0.777777778,1.471,0.84,1.901,1.0,0.0,1.0,2.199
73,1.0,0.777777778,1.471,0.85,1.901,1.0,0.0,1.0,2.199
74,1.0,0.777777778,0.682,0.849,1.901,1.0,0.0,0.0,2.289
75,1.0,0.777777778,0.821,0.848,0.853,1.0,0.0,1.0,1.873
76,1.0,0.777777778,1.024,0.841,0.853,1.0,0.0,0.0,2.903
81,1.0,1.0,1.318,0.894,1.753,0.0,1.0,1.0,1.565
82,1.0,1.0,1.318,0.894,1.753,0.0,1.0,1.0,1.565
83,1.0,1.0,1.318,0.887,1.753,0.0,1.0,1.0,1.565
84,1.0,1.0,0.493,0.889,1.753,0.0,1.0,0.0,2.224
85,1.0,1.0,0.493,0.893,1.753,0.0,1.0,1.0,1.565
88,1.0,1.0,1.681,0.886,1.753,0.0,1.0,1.0,1.598
89,1.0,1.0,1.681,0.886,1.753,0.0,1.0,0.0,2.501
90,1.0,1.0,1.681,0.889,1.753,0.0,1.0,1.0,1.598
91,1.0,1.0,1.314,0.87,1.753,0.0,1.0,1.0,1.598
92,1.0,1.0,0.701,0.829,1.753,0.0,1.0,1.0,1.598
93,1.0,1.0,0.898,0.837,1.753,0.0,1.0,0.0,2.222
94,1.0,1.0,1.22,0.841,1.753,0.0,1.0,0.0,2.589
95,1.0,1.0,1.482,0.833,0.37,0.0,1.0,1.0,1.545
96,1.0,0.962962963,-1.531,0.626,1.707,0.0,1.0,1.0,1.08
97,1.0,0.962962963,-1.531,0.665,1.707,0.0,1.0,1.0,1.08
98,1.0,0.962962963,-1.922,0.658,1.707,0.0,1.0,1.0,1.08
99,1.0,0.968253968,-1.922,0.659,1.707,0.0,1.0,1.0,1.08
100,1.0,0.0,-1.144,0.13,1.087,0.0,0.0,1.0,-0.755
101,1.0,0.0,-1.144,0.131,1.087,0.0,0.0,1.0,-0.755
102,1.0,0.0,-1.424,0.131,1.087,0.0,0.0,0.0,-0.632
103,1.0,0.0,-0.597,0.227,-1.255,0.0,1.0,0.0,-0.59
104,1.0,0.0,-0.7,0.226,-0.799,0.0,1.0,0.0,-0.95
108,1.0,-0.333333333,0.106,0.4,0.265,1.0,0.0,1.0,-0.751
117,1.0,0.0,1.701,0.885,1.057,0.0,1.0,1.0,1.789
121,1.0,0.0,2.313,0.883,1.057,0.0,1.0,0.0,2.153
127,1.0,0.0,2.313,0.868,1.057,0.0,1.0,0.0,2.153
135,1.0,0.0,2.189,0.843,1.784,0.0,1.0,1.0,1.7
137,1.0,0.0,1.637,0.843,1.784,0.0,1.0,1.0,1.7
138,1.0,0.0,1.637,0.843,1.784,0.0,1.0,1.0,1.7
139,1.0,0.0,1.072,0.85,1.784,0.0,1.0,0.0,2.156
144,1.0,0.393939394,-0.784,0.738,1.784,0.0,1.0,1.0,-0.062
149,1.0,0.545138889,-0.567,0.45,1.784,0.0,1.0,1.0,-0.758
151,1.0,0.454248366,-0.373,0.434,1.784,0.0,1.0,1.0,-1.293
152,1.0,0.0,0.374,0.241,0.764,0.0,1.0,0.0,-2.054
153,1.0,0.0,0.323,0.232,0.764,0.0,1.0,0.0,-2.054
154,1.0,0.0,0.227,0.229,0.764,0.0,1.0,0.0,-1.597
155,1.0,0.873015873,0.412,0.23,0.764,0.0,1.0,0.0,-1.597
156,1.0,0.873015873,0.412,0.234,0.764,0.0,1.0,0.0,-1.597
157,1.0,0.873015873,0.412,0.242,0.764,0.0,1.0,0.0,-1.597
158,1.0,0.873015873,0.862,0.232,0.764,0.0,1.0,1.0,-1.902
159,1.0,0.0,-0.35,0.427,1.883,0.0,0.0,0.0,1.908
160,1.0,0.0,-0.35,0.425,1.883,0.0,0.0,0.0,1.908
161,1.0,0.0,-0.35,0.524,1.883,0.0,0.0,0.0,1.542
162,1.0,0.0,-0.35,0.539,1.883,0.0,0.0,0.0,1.542
163,1.0,0.0,-0.35,0.539,1.883,0.0,0.0,0.0,1.542
164,1.0,0.777777778,-0.35,0.534,1.883,0.0,0.0,0.0,1.542
165,1.0,0.777777778,-0.924,0.512,1.883,0.0,0.0,0.0,1.802
166,1.0,0.844444444,-0.924,0.496,1.883,0.0,0.0,0.0,1.594
167,1.0,0.844444444,-0.915,0.501,1.883,0.0,0.0,0.0,1.594
168,1.0,0.844444444,-0.549,0.57,1.883,0.0,0.0,0.0,1.402
169,1.0,0.844444444,-0.627,0.557,1.883,0.0,0.0,1.0,1.967
170,1.0,0.0,-0.603,0.496,1.134,0.0,0.0,0.0,1.085
171,1.0,0.0,-0.603,0.614,1.134,0.0,0.0,0.0,1.085
172,1.0,0.0,-0.603,0.568,1.134,0.0,0.0,0.0,1.085
173,1.0,0.0,-0.452,0.501,1.134,0.0,0.0,1.0,1.09
174,1.0,-0.037037037,-1.029,0.478,1.348,0.0,0.0,0.0,0.9
175,1.0,0.0,1.075,0.528,0.933,0.0,0.0,0.0,0.972
176,1.0,0.0,0.818,0.48,1.314,0.0,0.0,1.0,1.003
177,1.0,0.925925926,0.712,0.321,0.441,0.0,0.0,0.0,-0.101
179,1.0,0.925925926,0.712,0.325,0.441,0.0,0.0,0.0,-0.238
180,1.0,0.925925926,1.3,0.333,0.441,0.0,0.0,1.0,-0.361
181,1.0,0.925925926,1.799,0.425,0.441,0.0,0.0,1.0,0.789
182,1.0,0.0,1.205,0.778,0.879,0.0,0.0,0.0,0.687
183,1.0,0.0,1.205,0.777,0.879,0.0,0.0,1.0,0.904
185,1.0,0.888888889,1.205,0.754,0.879,0.0,0.0,1.0,0.904
186,1.0,0.888888889,1.205,0.767,0.031,0.0,0.0,1.0,0.696
187,1.0,0.888888889,-0.317,0.355,-0.761,0.0,0.0,0.0,-0.24
188,1.0,0.888888889,0.1,0.357,-0.761,0.0,0.0,0.0,-0.24
189,1.0,0.888888889,0.1,0.37,-0.484,0.0,0.0,0.0,-0.176
191,1.0,0.0,1.359,0.081,-0.104,0.0,0.0,0.0,-0.975
192,1.0,0.0,1.39,0.655,1.036,0.0,0.0,1.0,1.874
193,1.0,0.0,1.39,0.656,1.036,0.0,0.0,0.0,1.555
194,1.0,0.0,1.39,0.682,1.036,0.0,0.0,1.0,1.406
196,1.0,0.0,0.472,0.685,1.67,0.0,0.0,1.0,1.257
199,1.0,0.0,-0.067,0.481,1.421,0.0,0.0,0.0,0.586
200,1.0,0.0,-0.067,0.506,1.421,0.0,0.0,0.0,0.586
201,1.0,0.968253968,0.188,0.554,1.421,0.0,0.0,0.0,0.677
203,1.0,0.968253968,0.057,0.555,1.421,0.0,0.0,0.0,0.879
204,1.0,0.968253968,-0.265,0.52,1.421,0.0,0.0,0.0,0.879
206,1.0,0.968253968,-0.161,0.488,1.421,0.0,0.0,0.0,0.842
209,1.0,0.0,-1.336,0.203,0.765,0.0,0.0,0.0,-0.662
210,1.0,0.0,-1.444,0.451,1.109,0.0,0.0,1.0,-0.011
211,1.0,0.0,-2.535,0.466,1.579,0.0,0.0,0.0,-0.141
212,1.0,0.0,-1.141,0.47,1.579,0.0,0.0,0.0,-0.164
213,1.0,0.0,-1.141,0.469,1.579,0.0,0.0,0.0,-0.164
214,1.0,0.0,-1.253,0.419,1.757,0.0,0.0,1.0,0.697
215,1.0,0.0,-1.177,0.395,1.757,0.0,0.0,0.0,-0.23
216,1.0,0.0,-0.642,0.368,1.757,0.0,0.0,1.0,0.001
219,1.0,0.0,-0.033,0.235,1.298,0.0,0.0,1.0,-0.337
220,1.0,0.0,-0.204,0.552,1.298,0.0,0.0,1.0,0.474
221,1.0,0.0,0.015,0.463,1.298,0.0,0.0,1.0,0.488
222,1.0,0.0,0.132,0.521,1.821,0.0,0.0,1.0,0.94
223,1.0,0.0,-1.422,0.485,1.821,0.0,0.0,1.0,0.185
224,1.0,0.0,-0.998,0.45,1.821,0.0,0.0,0.0,0.375
225,1.0,0.0,-0.561,0.428,1.821,0.0,0.0,0.0,0.375
226,1.0,-0.037037037,0.692,0.411,1.821,0.0,0.0,0.0,0.115
233,1.0,0.401234568,-0.627,0.876,1.76,0.0,1.0,1.0,1.721
235,1.0,0.401234568,-3.084,0.698,1.76,0.0,1.0,0.0,1.792
241,1.0,0.0,-1.401,0.216,0.452,0.0,0.0,1.0,-1.038
244,1.0,0.0,2.621,0.414,1.667,1.0,0.0,1.0,0.016
245,1.0,0.0,2.621,0.414,1.667,1.0,0.0,0.0,0.374
246,1.0,0.0,2.621,0.416,1.667,1.0,0.0,0.0,0.374
247,1.0,0.170940171,2.621,0.403,1.667,1.0,0.0,0.0,0.132
248,1.0,0.170940171,2.621,0.402,1.667,1.0,0.0,0.0,0.416
250,1.0,0.0,-0.389,0.392,-0.987,0.0,0.0,0.0,0.691
251,1.0,0.0,-0.298,0.663,1.237,0.0,0.0,0.0,0.909
252,1.0,0.0,0.35,0.709,1.237,0.0,0.0,0.0,0.909
253,1.0,0.0,0.35,0.743,1.237,0.0,0.0,1.0,1.392
254,1.0,0.0,0.35,0.743,1.237,0.0,0.0,1.0,1.392
255,1.0,0.0,0.35,0.743,1.237,0.0,0.0,1.0,1.392
256,1.0,0.0,0.35,0.764,1.237,0.0,0.0,1.0,1.392
257,1.0,0.0,0.35,0.778,1.237,0.0,0.0,1.0,1.392
258,1.0,0.0,0.35,0.779,1.237,0.0,0.0,0.0,0.909
259,1.0,0.0,0.416,0.779,1.237,0.0,0.0,0.0,1.28
260,1.0,0.0,0.416,0.775,1.237,0.0,0.0,1.0,1.392
261,1.0,0.0,0.48,0.775,1.237,0.0,0.0,0.0,1.28
262,1.0,0.0,0.315,0.778,1.237,0.0,0.0,1.0,1.392
263,1.0,0.0,0.315,0.777,1.237,0.0,0.0,1.0,1.392
264,1.0,0.0,0.315,0.779,1.237,0.0,0.0,1.0,1.392
265,1.0,0.0,0.287,0.765,1.237,0.0,0.0,0.0,1.494
266,1.0,0.0,0.287,0.758,1.237,0.0,0.0,1.0,1.554
267,1.0,0.0,0.333,0.755,1.237,0.0,0.0,0.0,1.494
268,1.0,0.0,0.333,0.752,1.237,0.0,0.0,1.0,1.554
269,1.0,0.0,0.333,0.738,1.237,0.0,0.0,0.0,1.494
270,1.0,0.0,0.373,0.747,1.237,0.0,0.0,0.0,1.494
271,1.0,0.0,0.744,0.727,1.237,0.0,0.0,0.0,1.377
272,1.0,0.259259259,0.696,0.719,1.237,0.0,0.0,1.0,1.869
273,1.0,0.259259259,1.163,0.725,1.237,0.0,0.0,1.0,1.869
274,1.0,0.259259259,1.529,0.718,1.237,0.0,0.0,0.0,2.031
276,1.0,0.0,0.446,0.513,0.734,0.0,0.0,1.0,0.651
277,1.0,0.0,2.405,0.591,0.823,0.0,0.0,0.0,1.954
279,1.0,0.0,0.069,0.585,1.268,0.0,0.0,0.0,1.449
280,1.0,0.0,1.328,0.201,1.345,0.0,1.0,1.0,-2.121
281,1.0,0.0,1.328,0.168,1.345,0.0,1.0,0.0,-2.077
285,1.0,0.0,-1.421,0.411,1.111,0.0,0.0,0.0,0.509
286,1.0,0.0,-1.421,0.493,1.111,0.0,0.0,0.0,0.994
287,1.0,0.0,-1.421,0.446,1.513,0.0,0.0,0.0,0.994
288,1.0,0.0,0.174,0.162,0.773,0.0,0.0,0.0,-0.38
289,1.0,0.0,0.048,0.16,0.665,0.0,0.0,0.0,-0.77
290,1.0,0.0,0.143,0.154,0.665,0.0,0.0,0.0,-0.661
291,1.0,0.0,0.143,0.201,0.665,0.0,0.0,0.0,-0.661
305,1.0,0.0,-2.134,0.388,1.486,0.0,1.0,0.0,0.501
308,1.0,0.0,-2.658,0.295,0.245,0.0,1.0,1.0,0.156
312,1.0,1.0,-2.262,0.285,1.455,0.0,1.0,0.0,-0.789
314,1.0,0.0,-1.351,0.27,1.888,0.0,0.0,0.0,-0.064
315,1.0,0.0,-0.985,0.32,1.888,0.0,0.0,0.0,-0.064
316,1.0,0.0,-1.289,0.318,1.888,0.0,0.0,0.0,-0.064
317,1.0,0.0,-1.206,0.312,1.888,0.0,0.0,0.0,-0.101
319,1.0,0.0,-1.407,0.283,1.888,0.0,0.0,0.0,-0.544
320,1.0,0.0,-1.283,0.284,1.888,0.0,0.0,0.0,-0.544
321,1.0,0.888888889,-1.283,0.285,0.984,0.0,0.0,0.0,-0.956
322,1.0,0.0,1.4,0.533,2.009,1.0,0.0,1.0,1.853
323,1.0,0.0,0.347,0.559,2.009,1.0,0.0,0.0,1.336
324,1.0,0.0,1.248,0.554,2.009,1.0,0.0,1.0,1.574
325,1.0,0.0,1.399,0.562,2.009,1.0,0.0,1.0,1.055
326,1.0,0.0,1.747,0.585,2.009,1.0,0.0,1.0,1.875
327,1.0,0.0,1.747,0.612,2.009,1.0,0.0,1.0,1.875
328,1.0,0.0,1.718,0.668,2.009,1.0,0.0,1.0,1.875
329,1.0,0.0,1.718,0.679,2.009,1.0,0.0,1.0,1.875
330,1.0,0.0,1.718,0.678,2.009,1.0,0.0,1.0,1.875
331,1.0,0.0,1.718,0.672,2.009,1.0,0.0,1.0,1.875
332,1.0,0.0,1.718,0.693,2.009,1.0,0.0,1.0,1.875
333,1.0,0.0,1.718,0.7,2.009,1.0,0.0,1.0,1.875
334,1.0,0.0,1.718,0.7,2.009,1.0,0.0,1.0,1.875
335,1.0,0.0,2.12,0.718,2.009,1.0,0.0,1.0,2.327
336,1.0,0.0,2.12,0.724,2.009,1.0,0.0,1.0,2.327
337,1.0,0.0,2.12,0.765,2.009,1.0,0.0,1.0,2.327
338,1.0,0.0,2.12,0.782,2.009,1.0,0.0,1.0,2.327
339,1.0,0.0,2.12,0.791,2.009,1.0,0.0,1.0,2.327
340,1.0,0.0,2.12,0.831,2.009,1.0,0.0,1.0,2.327
341,1.0,0.0,2.12,0.834,2.009,1.0,0.0,0.0,1.454
342,1.0,0.0,2.12,0.832,2.009,1.0,0.0,1.0,2.327
343,1.0,0.0,1.943,0.855,2.009,1.0,0.0,0.0,1.454
344,1.0,0.0,1.217,0.856,2.009,1.0,0.0,1.0,2.327
345,1.0,0.0,1.217,0.857,2.009,1.0,0.0,1.0,2.327
346,1.0,0.0,1.217,0.863,2.009,1.0,0.0,1.0,2.327
347,1.0,0.0,1.217,0.862,2.009,1.0,0.0,1.0,2.327
348,1.0,0.0,1.217,0.859,2.009,1.0,0.0,1.0,2.327
349,1.0,0.0,1.973,0.863,2.009,1.0,0.0,1.0,2.327
350,1.0,0.0,1.973,0.867,2.009,1.0,0.0,0.0,1.454
351,1.0,0.0,1.973,0.872,2.009,1.0,0.0,1.0,2.327
352,1.0,0.0,2.108,0.867,2.009,1.0,0.0,0.0,1.454
353,1.0,0.0,2.108,0.867,2.009,1.0,0.0,1.0,2.327
354,1.0,0.0,2.108,0.868,2.009,1.0,0.0,0.0,1.454
355,1.0,0.0,2.108,0.869,2.009,1.0,0.0,0.0,1.454
356,1.0,0.0,2.108,0.871,2.009,1.0,0.0,1.0,2.327
357,1.0,0.0,2.108,0.871,2.009,1.0,0.0,0.0,1.454
358,1.0,0.0,2.108,0.868,2.009,1.0,0.0,1.0,2.327
359,1.0,0.0,2.108,0.867,2.009,1.0,0.0,1.0,2.327
360,1.0,0.0,1.7,0.828,2.009,1.0,0.0,1.0,2.327
361,1.0,0.0,2.229,0.829,2.009,1.0,0.0,1.0,2.327
362,1.0,0.0,2.229,0.862,2.009,1.0,0.0,1.0,2.327
363,1.0,0.0,2.229,0.862,2.009,1.0,0.0,0.0,1.862
364,1.0,0.0,2.229,0.897,2.009,1.0,0.0,0.0,1.862
365,1.0,0.0,2.229,0.9,2.009,1.0,0.0,1.0,2.327
366,1.0,0.0,2.229,0.9,2.009,1.0,0.0,1.0,2.327
367,1.0,0.0,0.863,0.9,2.009,1.0,0.0,1.0,2.522
368,1.0,0.0,1.487,0.896,2.009,1.0,0.0,1.0,2.522
369,1.0,0.0,1.036,0.896,2.009,1.0,0.0,1.0,2.522
370,1.0,0.0,1.036,0.905,2.009,1.0,0.0,0.0,2.366
371,1.0,0.0,1.036,0.901,2.009,1.0,0.0,0.0,2.366
372,1.0,0.0,1.036,0.9,2.009,1.0,0.0,0.0,2.366
373,1.0,0.0,0.721,0.885,2.009,1.0,0.0,0.0,2.645
374,1.0,0.0,0.013,0.834,2.009,1.0,0.0,0.0,2.645
375,1.0,0.0,-0.349,0.824,2.009,1.0,0.0,0.0,2.645
376,1.0,0.0,-0.349,0.818,2.009,1.0,0.0,0.0,2.619
377,1.0,0.0,-0.68,0.815,2.009,1.0,0.0,0.0,2.233
378,1.0,0.0,0.894,0.821,2.009,1.0,0.0,0.0,2.184
381,1.0,0.0,0.525,0.843,2.009,1.0,0.0,0.0,2.102
382,1.0,0.0,0.98,0.912,1.893,0.0,1.0,1.0,1.952
383,1.0,0.0,1.988,0.867,1.893,0.0,1.0,0.0,2.36
384,1.0,0.0,1.25,0.852,1.893,0.0,1.0,1.0,2.069
